group	id	0292159D-8EE5-4B0B-9756-17EF4F55263A	0474C672-D911-40E4-8AB7-15FA4D072A9C	05AEE292-E223-48B5-B0B6-DA88D117139D	05BC1ED4-187E-41DB-AFA6-C4529B8FCFA3	0929C255-892A-4196-B906-54A5D809FA72	0A2B3536-2245-4C0E-BDBC-495766EEEC67	0AE47E69-3FA6-471B-BFDF-AF84E4D3201F	0AECCB48-4FB5-4C79-8E80-2BFDC2703B65	0F3D1985-DBA7-4525-92F5-CEF822A2A08F	1045C80F-7C97-4B11-9675-318064A3F56B	12B82BD8-2DD4-433A-B4C8-7985B4738402	12D39077-7A6C-4BA8-9EBB-CFFF87CD9770	150F8364-E67C-4913-831F-832187652123	176F3289-5E77-4E1B-8695-FA71478F18F9	17B178C8-9728-450B-A13A-7CCC5FC301C9	190602A3-5AC5-405A-9328-8BD78D23B174	1982CFBF-461A-4256-AEAA-DD89D18F28FE	19EBA91E-4D0E-493E-8297-3466769C0C1B	1CFD4B4B-DB79-44CC-A47E-7806308FDDA9	1E0DFE20-FCD1-43DF-8DE2-901E95A51523	1E854A72-598B-45D4-AB19-E3914F2AEE09	1F4C55C2-6F41-4B79-B994-AACDF9D87C19	249EA5FD-66E6-4293-838B-586365A336F4	27BCCCEB-7C09-4CB7-A5AB-891E281CA4DA	2FEA82F2-B180-4B7E-BE29-AF06A31C90C7	30BFBC24-D16F-448F-AEAC-057AEF97B2A7	3481B26E-85C6-4D1A-ADD4-4E7981B65BA7	3771176A-F95B-494A-8172-E57260AC372C	37DD0B78-3C22-48DE-8471-4F2D8779D90B	37EC4174-F358-4860-9D99-98104BE33A70	38ABF99F-2098-4214-83E5-4FC5270C1C6F	3AEA26F8-8B7D-4864-AB5E-F1CACB05D741	3DD5CD2F-352D-4ACF-ACCC-B5B6D7BAC5C9	4361A302-5783-46B0-8921-2EC08F235ACD	4485ADB0-AF5F-4A51-BF60-702F4C975DE2	4A1F60BD-5CD8-4221-8AF2-A2DA4437F8B8	4CA0F2AD-18D5-4044-8350-504FFE609B2C	4F0FA9B6-514F-4FF4-98CC-0009BC08EB80	507D17F8-DDEC-4560-919B-B7D729ECE611	52456612-1DF9-4CF8-B114-6E9B1EF19F2C	556EA0EF-8989-41AE-8023-7703DAC7160C	593E644B-68A3-4E67-BAB1-BDD99219E072	5B46DD57-1D7A-4DCC-8C71-E769D018AA44	5BB480FD-2D3A-4B4B-AD0F-7F689F761079	5CB91881-3359-4FBB-A8E4-DD2F007F01BA	5DD39B17-CA54-4C20-BD84-FA7F88DA5B69	5F2EB568-4F1C-4241-810D-95C2A13093F7	607DBF7C-9714-402B-B03A-2CC96DC5CE02	6176BB6D-9D93-4714-B906-C7A54E0D3325	665AC2DC-49CB-4284-A05C-1B1CDEFE2A0B	6689E110-85D0-445C-8056-108724435D89	6777816A-975B-4B53-B039-3CB26D469C47	696B8E8A-DD8D-440A-853E-5878B584288D	6B2C9674-5F06-436A-8FF6-DC15BAAADD80	6BAB0D9B-7BA4-4E29-B05E-25893805AABC	6E75A199-949C-4A87-AE44-7CCF6C8C021F	741D97D6-E08F-45A8-A2A4-35E151FE3EFA	790E11C9-30D1-40BE-A2BB-89B08A545722	79E88E8B-5E5A-4775-A5E5-ED446A2B546A	7C14EC5E-9FB4-4512-A2B8-10BDB5EFF326	7CEFBF18-5BCD-4687-885E-A4B058111B1A	7DC55705-0FC3-4BC3-9EB7-1380D6E50BFE	7DD0EB2E-EEB9-408E-B0FE-6A65BEC2014C	87DAEC85-6F71-4239-8D48-5590DA42CE45	91B710F2-5869-4818-A56C-AA4F85F06AC3	92028088-D1E7-4B14-AE4C-E262F2716FDD	9506C21A-0F1C-4EF9-9CDA-2E5C46C1A5DC	9772B0F1-BB89-49A9-9841-40EA5956A8DF	9926508B-C453-4081-B146-CCEC942C106E	99470209-71EF-4FFB-95B8-E09125766973	996989CD-4161-4D87-948F-3E152AC4D4B0	A0782212-49CD-4567-B538-534176BB77D5	A1449440-5579-4BBC-AC5A-76A10657FCB2	A3B49FA6-C8FD-43F1-A601-41F153B3442B	A6F751BB-BF57-4852-9368-825EFF3C501B	A7805FDF-1028-4275-A8F1-3620610199F6	AA690CF2-1EC3-4E0A-99CF-DD24992EEE9A	B263B4F2-2A41-48CB-89A2-0F10A4620160	B68ADC4A-A164-498B-8D60-3B2AD81E217C	BDBA1211-1AFE-4CF4-8ED6-509BFF3A2B57	C0B6329F-B055-480B-8DA0-D13DC42F7E27	C2090E0F-4228-4CF4-B69D-BFD38006E856	C3F371A7-0C27-4FE9-90D7-53F8E8BF963F	C4F6F746-B4DF-42CC-A629-33B032E0EF32	C58E0717-CC79-44C4-84AE-5874893A1364	C5D8569F-D8E3-4CE4-AD30-AF4FEC5CF346	C926563F-1DD6-4EAF-B7FF-17CF3AB60D21	C98BE9BB-CEB5-4886-AA9D-1F8F274A2CEF	CA729C97-E303-49AA-A4B2-2E9DD5C0F6AE	CA995887-B9FE-45FE-A90A-E2C757D7F37B	D1B14E56-23F7-435E-93B9-320012FA4E54	D29C76EA-FE7C-45E9-AEAB-0BFE5D81663E	D38A9ED2-81AD-43C6-AEB2-9ABC15999412	DCA18BD3-9317-4C2E-B7B7-139A69121396	DCF0B901-619A-48CB-AF7C-3B05C682133D	DF12BB2C-6DF9-4F88-8C40-14344811143C	DFFEA5C8-41AF-4927-A8C4-9E270F8F7106	E1C96184-EDCA-44C4-BB80-68492E5BF368	E449A211-33FC-45F4-B4F4-03CDE1D4F4BF	E8976AD5-04D7-4C42-8897-EFCB2CA0A171	EEFAE11A-42AD-497E-B6C6-61E00D1278D1	F1A1BFCF-BE56-43F7-B0BF-B1A64A618C86	F210498D-01E8-4BE7-9D7F-F216095079E8	F235FD23-09B9-41B0-9F2C-8BD1757EB884	F4B16D3F-4B7F-4011-8D1B-C0E7F15C6846	F634C736-39E8-4323-8155-FA3CC26AC9E3	F634FD6E-BA32-4F6A-BCFC-1F3994A137D0	F6A88D9F-29CE-44C8-A1C8-4EE014FD4701	F71C5D3E-3D79-4658-842B-F3D61BDFD29D	FD9FB30F-5F8D-486C-815C-90749331BB20
1	16F95A1B-AA8C-40D7-B365-D9A80FA27D2D	5.671314267	4.367553573	NA	3.018221799	6.006878854	5.563400054	2.40779389	3.881862365	5.534514615	3.706614193	6.023544738	4.041714986	4.98469905	4.647420624	3.977689398	3.990678349	2.743360849	6.161156176	3.639374968	4.960707212	4.086757144	4.105772772	4.944934696	3.674490968	4.035052115	3.3718188	4.430973873	6.156904928	5.171959522	5.426385126	4.548219203	3.20482452	4.272479151	4.638144782	4.371582519	4.165198837	5.398240175	5.354071947	5.370514845	3.350177065	4.117071981	3.615191025	4.001800561	4.515118348	5.294800804	4.115780924	4.147747476	5.926796849	6.228806975	3.925518662	5.984515467	4.703213685	2.92719408	NA	4.310461832	3.263287201	3.413313716	4.768904979	3.308137672	4.401039417	3.499542006	3.709993936	3.875232057	5.772922897	1.890565614	2.671331261	6.015917816	4.756062296	3.248416691	4.795432327	5.676138248	4.542092869	3.996425008	3.9048861	4.637119293	5.593613181	4.258101727	3.482680186	4.097397095	4.882263607	4.000771286	4.445187089	4.877105896	3.753529911	3.763322065	2.868684469	5.645132826	2.480342532	4.007580392	2.63696901	5.396340304	4.891753837	3.799222727	5.0282918	3.49794771	4.048609547	2.619120452	4.935644196	5.72077053	5.331722963	3.504381743	5.198216133	5.02092788	4.583260041	5.048033356	5.326521888	4.21169211	4.779827793	4.521948684	5.073634107
1	4E5CBDEA-C9AE-4BC2-8612-2E0DD144C849	5.767770365	4.245771991	NA	2.949951226	6.009060062	5.543401081	2.19751145	3.731185093	5.095189434	3.271411818	6.045404897	2.534615552	4.97780494	4.190826957	3.953474724	3.919291218	2.929056366	6.164668782	3.488837459	5.107589865	3.96235297	4.228758684	4.853084894	3.51244994	3.812520359	3.275496526	4.527304452	6.163365843	5.132640115	5.709428253	4.441461954	2.79281053	4.193021103	4.425179368	4.228269888	3.955327014	5.293964262	5.442951993	5.164165801	3.23067749	4.152174703	3.46294447	3.963519087	4.602756464	5.358560275	3.921368604	4.403602146	5.905174823	6.222865189	3.995990544	6.122506702	4.881649228	2.9313335	2.228706724	4.42517904	3.158759656	2.775081761	4.844695263	3.319769399	4.521445731	3.345312306	3.621117835	3.810074191	5.769494775	NA	2.466331437	6.066620748	4.514031229	3.387269272	4.816691835	5.298876186	4.526749606	3.687115349	3.86858716	4.934251587	5.701864085	4.265564016	3.263945087	4.402037068	4.897833008	4.067161183	4.514187694	4.665116227	3.792242212	3.036118415	3.189009244	5.702392969	2.733843369	3.770642167	2.442682616	5.322656621	5.011515708	3.719715677	4.878122995	4.554006543	3.987939823	4.073445922	4.90891113	5.52400463	5.094770171	3.490689359	5.242621376	4.685173723	4.317203373	5.359090995	5.248037213	4.312704883	4.710997469	4.548312261	5.141875514
1	C1CD1677-2F20-4C74-8FAA-798036D3AC48	5.726412405	4.435329865	NA	3.158958776	6.088089402	5.604884926	2.619705494	3.876877486	5.06765976	3.616671144	6.080765513	4.09692596	4.993285182	4.699172476	4.008609914	4.066158917	2.774782194	6.164206027	3.577278061	4.835086603	3.998842768	4.005259266	4.868235708	3.684842119	3.938003341	3.285094292	4.469017031	6.156815651	5.169486041	5.425988527	4.427180084	3.109486218	4.210606171	4.71604113	4.399014995	4.082692573	5.255741765	5.203611669	5.384805705	3.368237092	4.131613161	3.649698377	3.976582685	4.555629743	5.26499551	4.265511327	4.298174974	5.903485642	6.232898926	3.837814377	6.042357597	4.646875792	2.869751789	2.379904489	4.316123481	3.21921907	3.16158812	4.771341718	3.386525143	4.451395407	3.495947986	3.681989112	3.966239591	5.743702186	1.986477629	2.644786939	5.971492173	4.654397183	3.369282104	4.835769594	5.771965532	4.549705248	3.958033053	3.883901302	4.680104321	5.646114627	4.252819363	3.500328199	4.203706322	4.891545951	3.927113155	4.490782243	4.546301772	3.739812075	3.51574776	3.006010535	5.668251382	2.818581317	4.010733483	2.581395436	5.280521281	5.014932965	3.864379787	4.899879672	4.369010274	4.097435685	3.017645753	4.900737432	5.611188581	5.116055832	3.354175104	5.227051105	5.026393431	4.611783486	5.094485309	5.249760124	4.329321131	4.711149699	4.540324643	5.154243663
2	514CDE73-476B-4902-A740-A3672C9B1A1C	5.636947997	4.352196387	NA	3.377626018	6.093207366	5.492779838	NA	3.799913998	5.410445222	3.681932126	5.991592411	3.775410815	4.828379535	3.986243094	3.940742886	3.600196897	3.04746413	6.167181584	3.552391886	5.144191865	3.961066865	4.109165053	4.984759888	3.637382754	3.976554007	3.197692122	4.404477698	6.150913672	5.589744869	5.537904054	4.546850765	3.879071231	4.251054364	4.562120365	4.448276564	4.024496064	5.312507506	5.374880637	4.830279723	3.354829557	4.121318569	3.913491108	3.978789598	4.377994114	5.329713643	5.114782353	4.191896271	5.923358775	6.231058228	3.928043897	6.006450241	5.260895324	3.688002399	2.733231496	4.360590384	3.21845678	3.247504797	5.455233991	3.317031837	4.293744304	3.518982536	3.750423294	3.768023607	5.790934193	2.829191903	3.548659143	5.951656895	4.789728963	3.265762682	4.73182717	5.104413762	4.599361327	4.45188355	3.878383425	4.773725253	5.553686008	4.115401011	4.037643724	4.194892938	4.736042359	3.923653107	4.337980596	4.590476949	3.772654699	3.624712139	3.130932679	5.835143361	2.904509323	3.971781227	3.265335212	5.374586718	4.868130369	3.810679468	5.019136874	4.060615188	3.930337063	2.657427244	4.936786273	5.590296877	5.087258792	3.438704347	5.242953037	5.09514612	3.98835218	5.049224242	5.248912702	4.209544327	4.733413574	4.404325204	5.17641491
2	82D054D7-43FB-4DB8-9625-881DB97C5B52	5.437362762	4.41868151	NA	3.53339958	6.050507932	5.37277563	2.584274027	3.960585938	5.415403521	4.081968384	5.962860265	4.06144712	4.73946527	3.998958559	3.963565359	3.52746059	2.672171419	6.163038995	3.595500258	5.030302018	3.975448239	4.059982968	4.934329466	3.619404011	4.157126634	3.220110862	4.297893242	6.149594166	5.587870547	5.355445899	4.404022175	3.98901005	4.204453682	4.349163631	4.651412943	4.054243824	5.271225658	5.417563917	4.945351789	3.302554725	4.148751277	3.931032024	3.999905156	4.322818232	5.271408734	5.124462704	4.611366108	5.914457056	6.22699757	3.804907352	6.162338325	5.246363312	3.517392579	2.679182804	4.287920751	3.098344263	3.304194387	5.348192544	3.405821474	4.134640191	3.459750506	3.75572885	3.636233913	5.774284684	3.18210417	3.39812365	5.969316741	4.682006937	3.497728189	4.876039721	5.19201815	4.61215304	4.386365609	3.897904283	4.67135505	5.389936945	3.997968355	3.990301182	3.6564522	4.71684463	3.821367597	4.253541467	4.768661242	3.688235777	3.771450394	NA	5.769078149	2.331697207	4.111752286	3.092493441	5.573455908	4.882472195	3.741623834	5.418947006	4.561047822	3.783961719	3.713135811	4.89176147	5.735425171	5.156218989	3.397129609	5.429852667	5.062936537	4.109325897	5.025177069	5.317342743	4.027508383	4.699798382	4.502912239	5.05149176
2	9457664E-DEB6-4F6F-9F9B-4446A9DF36E1	5.537207197	4.494696182	NA	3.519620627	6.012016259	5.474912686	NA	3.705511919	5.173544718	4.067972865	5.994832954	4.106487979	4.861861048	4.201906304	4.000668897	3.725114035	2.522838988	6.156419854	3.331322143	4.905152322	3.993069739	4.128745205	4.843063512	3.842753885	3.981921432	3.11939371	4.333584247	6.171450965	5.754781877	5.575871335	4.441478049	3.96463107	4.264525853	4.72475306	4.027731352	4.029002274	5.287160757	5.308305124	4.995884843	3.361924921	4.207960468	4.075052811	4.016386371	4.34209745	4.890227674	5.411690983	4.298605939	5.903633234	6.230196486	4.043195678	6.173454188	5.185974258	3.798520148	2.382683843	4.531254383	3.149820656	3.035339129	5.442960026	3.422595013	4.270082494	3.705291247	3.756222064	3.838566349	5.764961406	3.228571357	3.450247224	5.90660174	4.7839504	3.403056783	4.864375405	5.446793074	4.656436702	4.693343565	3.916957752	4.498870443	5.465500193	4.098183533	4.263343792	3.653486874	4.757684514	3.853863313	4.289198026	4.546337884	3.764947211	3.254801361	NA	5.763270035	3.153034277	4.230588807	2.966213344	5.339066478	4.955228548	3.913221206	4.581636191	4.330303062	4.059232561	3.783810094	4.930225717	5.65247745	5.099419749	3.632039411	5.321503077	5.319433886	4.287131655	5.208862622	5.280735046	4.160200595	4.773388803	4.448264025	5.186062499
3	20CBEB2A-8CD7-4FEE-8BEF-6B6D382C6A4F	5.574167566	4.148842676	NA	2.759255788	5.981531064	5.467962685	2.616951973	4.263371901	5.821130458	4.056133925	5.989243074	3.806379478	5.082394521	3.630679657	4.170142551	4.173064622	2.698073355	6.160419567	3.564833353	5.191332341	4.027234106	4.10209829	5.066888957	3.543570524	3.87520758	3.290726856	4.47176649	6.152715804	5.273234332	5.522539741	4.901173064	4.022518482	4.26497065	4.49887205	4.3580731	4.168367549	5.321185297	5.33231561	4.815822427	3.331063457	4.076704898	4.315813731	3.973057586	4.33841563	5.344798007	5.038353091	4.890391893	5.909213317	6.221452267	3.956361468	5.895414014	4.883051078	3.880104443	2.22100303	4.418888697	3.167965394	3.131536098	5.55353795	3.250897437	4.278935893	3.711763329	3.730757414	3.840884832	5.708430921	3.120952391	3.178988629	5.884383608	4.58373044	3.311082602	4.753673622	5.09525098	4.410280589	4.449170482	3.845131531	5.108315636	5.629237474	4.127362339	3.676454634	3.923095205	4.792430474	4.20077751	4.153948938	4.936959157	4.054032425	3.48601535	2.674071648	5.459709777	5.443456271	3.858944911	2.863198237	5.510502706	4.94137825	3.638338101	4.88953416	3.416879395	4.468662703	3.312746207	4.943803247	5.729858874	5.10578468	3.638414149	5.088397475	4.889919635	4.30492202	5.146281598	5.270649324	4.425549832	4.777479231	4.471689754	5.018739718
3	B8D7B297-56B3-4698-8611-593452812545	5.51946962	4.162547986	NA	2.742728042	5.732611697	5.200546231	2.565834757	4.224044491	5.632004437	4.210114435	5.917304776	3.8225457	5.02326304	3.632230872	4.181510044	4.022265931	2.781920509	6.152875137	3.733136722	5.280377074	3.971901342	4.03189814	4.963223317	3.552542529	3.839580931	3.313639892	4.491937216	6.114752494	5.334985394	5.439523733	4.674598779	4.042624782	4.221000112	4.447909838	4.421218683	4.165856573	5.324940958	5.379619935	4.868856865	3.363283603	4.056332348	4.341539898	3.940375267	4.378559614	5.359608528	5.051619492	4.847693611	5.86654596	6.222430373	4.159396531	5.911210006	4.906441364	3.869673231	2.139164255	4.318678993	3.006269718	2.796298579	5.604073848	3.289061473	4.37023533	3.569295856	3.722512655	3.863138136	5.708775503	3.322665822	3.22633581	5.882346566	4.646094103	3.366998102	4.977483002	5.121544419	4.482902842	4.379475013	3.804740367	5.086457333	5.578053103	4.112589482	3.716064023	4.123537637	4.807203007	4.226828184	4.203731829	5.210864741	4.059013475	2.935048491	2.284204536	5.575886748	5.448576579	3.937456215	2.949376403	5.582580105	4.929218764	3.630791459	5.066872235	3.33453853	4.415649529	3.49732976	4.887859093	5.766429956	5.09828868	3.592971259	5.104899952	4.874796163	4.361758443	5.182191083	5.25808725	4.381478707	4.745165709	4.423451274	5.114816959
3	C7E74F94-B57A-4B33-A5AF-3B0EC07EB777	5.467017093	4.196527269	3.654024529	3.266715775	5.854411991	5.343079512	2.759112543	4.177974029	5.465068541	4.695834175	5.930575444	3.969843721	5.043480118	4.232460162	4.205360091	4.285238119	2.651986724	6.160548633	3.482274137	5.03187934	4.001045222	3.996471816	5.056094334	3.68403302	4.141459617	3.249793752	4.106902584	6.153208536	5.245773343	5.204464789	4.730683641	4.398923674	4.255766493	4.496695878	4.389968702	4.22410178	5.357959221	5.353955416	4.870722348	3.36646855	4.028619451	4.544529964	3.998384854	4.345971193	5.149280448	5.460928625	4.743930277	5.850673033	6.223119544	3.706090763	5.842822596	4.764916359	3.980763732	3.189713454	4.207901753	3.14987879	3.426337614	5.445813161	3.323670687	4.211079642	3.802584441	3.888430995	3.914440401	5.662223526	3.316582425	3.36007744	5.711392561	4.753082722	3.393573375	4.856117624	5.423769375	4.519811379	4.987554441	3.868581987	4.843710442	5.517910569	4.081562614	3.891533907	3.583690101	4.841484772	4.0890027	4.212225246	5.008235885	3.914523196	3.761567126	2.486872776	5.341308148	5.364291417	4.114191088	3.099844657	5.434979899	4.980106769	3.563490995	4.68020488	3.101352345	4.523622509	2.566271529	4.92851998	5.741602028	5.131232566	3.62001886	4.975407867	5.137809513	4.705531091	5.202277149	5.271094863	4.252832349	4.763622369	4.390074754	4.880453139
4	761901A1-6FC6-4B0E-B5D2-368B555E53A9	5.390100448	4.280128466	NA	3.519527434	6.025298126	5.474805037	2.639540997	4.093485976	5.261627813	5.090130384	6.031934526	3.750965092	5.06700175	3.880160071	4.103614562	5.067441641	3.189945025	6.164475396	3.532264052	5.272214641	4.037464467	4.298764275	4.868791337	3.573330038	3.929451482	3.395676105	4.315529788	6.157132298	5.166499047	5.496326058	4.640190487	4.818069723	4.232886428	4.213848572	4.118935873	4.375964966	5.304446022	5.377754244	4.787833092	3.271285088	4.102444526	3.892878097	4.033740163	4.20709457	5.61478884	5.315660963	4.600919984	5.939057185	6.199256617	4.326425721	5.97030939	4.249109497	1.974253032	2.551577571	4.478002658	3.207835313	2.947827536	5.406728962	3.135010926	4.241876708	3.381170393	3.82957723	3.739087692	5.766492607	3.175623567	3.771002518	5.66094293	4.62272037	3.252386192	4.835096125	5.4516457	4.374713795	4.696579221	3.865654425	4.756725541	5.379100391	4.056541154	4.165459361	3.549469387	4.746312965	4.011528416	4.091497215	4.590680758	3.911418144	3.36593137	3.320796203	5.728335257	4.143299775	4.079292494	2.643193276	5.59019994	5.091557273	3.807950509	4.810587993	4.643895878	4.758459623	3.890161314	4.946640671	5.669827442	5.027135396	3.696314012	5.055043135	4.972163417	4.746049218	5.316631284	5.242268469	3.988113921	4.680656706	4.334294085	4.92085487
4	816EA46E-8759-4195-951D-6D89176757BC	5.291119063	4.266541866	2.651545632	3.338304691	5.808573182	5.302587774	2.666872245	4.042063265	5.135799461	5.184614161	5.92772466	3.91803427	5.041879868	3.671551286	4.117616885	5.034428751	3.137690489	6.163769827	3.510137466	5.373257592	3.952111894	4.277960266	4.859079689	3.605404867	4.115809046	3.328784052	4.257268408	6.160039581	5.205052638	5.481211781	4.515429569	4.771208276	4.193441254	4.248711012	4.00073425	4.449610492	5.329008698	5.384165081	4.926394084	3.314712342	4.047280769	3.90565831	4.010570221	4.115786979	5.554617869	5.378038683	4.586015684	5.87486208	6.215808808	4.081194207	5.803764123	4.12727136	2.054463782	2.419638394	4.442425326	3.21095164	3.364973845	5.356859093	3.303350576	4.262037668	3.425090162	3.876145413	3.797638503	5.693025313	3.212920097	3.714142314	5.626693509	4.7590516	3.337260148	4.855059221	5.359966382	4.313410898	4.860519963	3.906759075	4.791131002	5.286711213	3.944955707	4.09669294	3.436119813	4.728677702	4.073616241	3.983939636	4.764188313	3.947125737	3.707597526	2.793649528	5.699432231	4.119596079	4.171695309	2.776800142	5.733268849	5.007034469	3.777684359	4.92209174	4.431419603	4.734675958	2.707928912	4.883706462	5.784564085	5.141906181	3.458489371	5.084534545	4.91300006	4.707987404	5.188351891	5.291422074	3.981077264	4.689776737	4.367536798	4.930504243
4	CF272A46-0CF8-48F2-B191-51EFEBAE6503	5.172315731	4.320934075	3.184865807	3.388710525	6.080331651	5.509894196	2.799264144	4.233519654	5.494282031	5.329203748	6.033263935	4.037571974	4.972538711	4.032789082	4.033128341	4.912356841	2.931288343	6.163317963	3.479458436	5.047579402	3.960759609	3.857649848	4.767749243	3.66489269	4.262821098	3.312544223	4.080300547	6.16974771	5.079911242	5.168094414	4.377668543	4.987315871	4.280293303	4.298617877	4.566868187	4.396532138	5.288184314	5.303005777	4.903451303	3.24890118	4.081010928	3.947513937	3.990377607	3.970117262	5.539632174	5.526716036	4.52441478	5.901281697	6.20176648	4.063099028	5.930682458	4.148544309	2.078684019	2.619521758	4.371135734	3.070417918	3.500994992	5.264893155	3.370634263	4.086602811	3.349001466	4.016583055	3.802067951	5.698846171	3.095220081	3.598477701	5.457770181	4.731366656	3.395863225	4.909409797	5.515940008	4.212433322	4.988777452	3.844136606	4.557808537	5.172186038	3.847522778	4.241086668	3.091592977	4.703795747	3.764864453	3.921413637	4.6787279	3.870273455	3.924302912	2.197100318	5.593957007	4.173106256	4.245843328	2.889260844	5.581690396	4.781759195	3.842595256	4.825775856	4.647957198	4.737404691	1.924005139	4.959194337	5.718278537	5.079013816	3.694795968	5.081665824	5.052505315	4.864841432	5.136003516	5.191175093	3.94645336	4.773184905	4.465075052	4.76725359
5	14E969D5-1C53-4D90-9D48-6DABE69F3BAA	5.66334455	4.63294626	NA	3.445425595	5.759605327	5.164018343	2.500973865	3.641532629	5.430895123	4.282952824	5.796882094	4.251191265	5.144125916	5.334379462	3.991562737	4.312310298	2.412742027	6.162692847	3.476958511	4.691933834	4.034504555	3.778773006	4.835910802	4.024472685	4.122109614	3.268715417	4.013298755	6.171306808	5.253200153	5.056642662	4.358947612	3.661961266	4.276078397	4.994620742	4.372072793	3.966416275	5.447371238	5.438676068	5.520594494	3.421288092	4.188168766	3.957904582	4.039822301	4.619944402	4.646124414	4.972138291	4.20852642	5.783358565	6.232517891	3.748254001	6.084496694	4.77569134	3.245022443	2.664815046	4.261608769	3.134975596	3.154476978	4.760625388	3.34687689	4.42680401	4.492743904	3.746982609	4.253016603	5.786778013	3.639164023	2.791310819	5.802115703	4.925291576	3.35969201	4.828175791	6.11066165	4.98058448	4.410998378	3.918124657	4.44774224	5.604739505	4.387660135	3.772346473	3.963836099	5.02298424	4.186859789	4.576484026	4.971570869	3.44391168	3.454178116	3.068886601	5.45729164	2.978694346	4.428833651	2.536004398	5.2450023	5.439044269	3.773270424	4.511582403	2.862115451	4.32126375	3.36463796	4.95764482	5.851904287	5.134753293	3.58528982	5.151786882	5.484011764	4.969927421	5.377118633	5.324287401	4.486831679	4.771079183	4.333922134	4.988005198
5	72E623E2-0417-46FA-B552-B6361AC972EC	5.603814002	4.668826602	NA	3.662110717	5.837720678	5.073609559	2.587014036	3.656672317	5.391525347	4.23923533	5.784454524	4.365050736	5.186773616	5.417380213	3.917242847	4.378367194	2.370191448	6.163581353	3.376200293	4.588681819	3.791744628	3.765605379	4.832435241	4.001541915	4.132729445	3.234289956	3.796920572	6.164049412	5.318242959	5.076765847	4.247055919	3.716848991	4.279798562	5.006222119	4.186439598	4.109126757	5.253587688	5.363813301	5.506478506	3.36937952	4.20272722	3.898091072	4.013327486	4.533081607	4.631448881	4.730517029	4.237970771	5.702042884	6.22950536	3.570272245	6.178961077	4.713307272	3.277583922	2.667849776	4.195387761	3.036667295	3.263918862	4.722555613	3.356837491	4.401206732	4.661035862	3.81003937	4.233123748	5.773700493	3.507410389	2.734564801	5.660553953	5.006488498	3.425004927	4.948460793	6.212625393	5.095332561	4.404041605	3.902143489	4.304242756	5.54158676	4.337634459	3.812565538	4.014186094	4.991292595	4.195693017	4.458513696	5.12202336	3.254748457	3.605916166	2.723352201	5.43261961	2.878994776	4.424594177	2.538771166	5.186854854	5.375542468	3.807006374	4.539588629	3.056275953	4.351568439	3.970754664	4.944989811	5.861059289	5.150343038	3.528450093	5.235740254	5.50638731	5.016228551	5.360141648	5.314639866	4.368973106	4.771864211	4.387477933	4.89992349
5	B15076C3-4F7B-4D52-88C1-7D741C784F08	5.735731472	4.581616421	NA	3.453557452	5.74525078	5.053966598	2.199903559	3.697511212	6.002660741	4.099059425	5.614618178	4.271584384	5.18841425	5.280997676	4.004531746	4.258935243	2.603336228	6.157194265	3.426533088	4.682904464	3.885842872	3.659209987	4.891330319	4.053119565	4.13672852	3.230930785	4.062072082	6.120012262	5.478881081	5.06627094	4.345435372	3.294482507	4.222180521	5.139860227	4.432443728	3.912843312	5.375785633	5.368773429	5.503903785	3.410254751	4.141314088	3.996715076	4.005324415	4.682465973	4.591899962	4.605459642	4.017192046	5.609724475	6.211047348	3.619486567	6.001615885	4.75636296	3.447803723	2.680195345	4.218986918	3.132297758	3.152381208	4.995907587	3.180309754	4.487709081	4.247218484	3.834739171	4.295266878	5.843673803	3.255451728	2.885685156	5.795045647	5.054259896	3.18578482	4.892774165	6.066968945	5.266722295	4.174756151	3.910220525	4.326451238	5.667313678	4.403283433	3.663034937	4.332449766	5.025937477	4.245915694	4.613059399	5.44609449	3.323815691	3.380171012	2.558070387	5.437028758	3.121588812	4.348247265	NA	5.322353037	5.110150654	3.846943058	4.423382583	3.009135029	4.279474546	3.162589527	4.907497505	5.910381419	5.165475977	3.557400977	5.195585164	5.50854142	4.882924023	5.314744628	5.362772093	4.51451718	4.719550091	4.401724616	4.979425904
